school,program,deadline,link,city,priority,note
清华大学,工业工程系,2026/05/28 23:59,https://mp.weixin.qq.com/s/v2iAKFYtZbKK8_iQUbrPkA,北京,弱,
清华大学,建筑环境与能源应用工程专业,2026/06/14 23:59,https://mp.weixin.qq.com/s/T4bMmymzp1JKcgk4ifPBZw?scene=1&click_id=12,北京,强,
清华大学,精密仪器系,2026/06/15 23:59,https://mp.weixin.qq.com/s/dCFMg_jB_uAUa3qHFb66Kg,北京,弱,
清华大学,力学与工程交叉研究院,2026/06/20 17:00,https://www.mechanox.tsinghua.edu.cn/cn/2026/0518/c960a7602/page.htm,北京,中,
清华大学,工物系、核研院,2026/06/24 23:59,https://www.inet.tsinghua.edu.cn/info/1288/3179.htm,北京,强,
清华大学,智能产业研究院,N/A,https://mp.weixin.qq.com/s/O_M_JCzFaPUCHV4w0O3lLQ,北京,弱,
北京大学,环境科学与工程学院,2026/06/16 23:59,https://mp.weixin.qq.com/s/vxMa3zCWpxxCJPjrNmurKQ,北京,中,
北京大学,能源环境经济与政策研究室,2026/06/16 23:59,https://mp.weixin.qq.com/s/49l5glQrbG-K9wNKeIssfg,北京,强,
北京大学,力学与工程科学学院（机械专业）,2026/06/22 08:30,https://mech.pku.edu.cn/jyjx/yjsjy/tzgg1/3d8fc64c92f8495daa931008015aa996.htm,北京,中,
北京大学,新材料学院,2026/06/22 23:59,https://mp.weixin.qq.com/s/9CPX2Vb5OqypgdOzlsXgaw?scene=1&click_id=2,北京,中,
北京大学,环境与能源学院,2026/06/23 23:59,https://mp.weixin.qq.com/s/6ZIrB2BfDwSGX-ynYXocbA,北京,强,
北京大学,先进制造与机器人学院,2026/06/25 23:59,https://amr.pku.edu.cn/tzgg/a5d4c6ef29bd4a57b25649e7830a42fc.htm,北京,中,
北京大学,科学智能学院,2026/07/01 23:59,https://ai4s.pkusz.edu.cn/info/1153/1385.htm,北京,弱,
浙江大学,材料科学与工,2026/06/17 23:59,https://mse.zju.edu.cn/2026/0525/c51673a3165949/page.htm,杭州,中,
浙江大学,机械工程学院,2026/06/20 23:59,https://mp.weixin.qq.com/s/ZAjlRfZrRzIU6XIE7KNRrQ?scene=1&click_id=2,杭州,中,
浙江大学,环境与资源学院,2026/06/20 23:59,http://www.cers.zju.edu.cn/cercn/2026/0528/c91703a3167240/page.htm,杭州,中,
浙江大学,航空航天学院,2026/06/20 23:59,http://saa.zju.edu.cn/2026/0602/c67629a3169091/page.htm,杭州,中,
浙江大学,生物系统工程与食品科学学院,2026/06/21 23:59,http://www.caefs.zju.edu.cn/2026/0522/c68774a3165638/page.htm,杭州,弱,
浙江大学,伊利诺伊大学厄巴纳香槟校区联合学院,2026/07/02 23:59,https://zjui.intl.zju.edu.cn/node/3455,杭州,中,
上海交通大学,国家电投智慧能源创新学院,2026/06/20 23:59,https://mp.weixin.qq.com/s/ZOCcLifZcdm1qVfp1MFf5g,上海,强,
上海交通大学,碳中和未来主题夏令营,2026/07/11 23:59,https://mp.weixin.qq.com/s/O31jt_kXDcBV2b0es9yvPA,上海,强,
复旦大学,智能材料与未来能源创新学院,2026/06/22 23:59,https://icome.fudan.edu.cn/f1/8f/c49262a782735/page.htm,上海,强,
